사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
메가엠지씨커피 역삼역점,커피숍,"서울특별시 강남구 테헤란로25길 15, 지상1층 (역삼동)",203042.435          ,444377.61           
스타벅스커피 강남구청정문점,커피숍,"서울특별시 강남구 학동로 419, 1층 (청담동)",203993.72549271     ,446236.536019743    
공차코리아강남역점,커피숍,"서울특별시 강남구 강남대로 지하 396, 강남역 지하1층 E-37호 (역삼동)",202422.251739571    ,443872.484453417    
우청과,커피숍,"서울특별시 강남구 봉은사로71길 32, 지상1층 1-2호 (삼성동)",204300.435820391    ,445788.380790663    
스머프매직포레스트,커피숍,"서울특별시 강남구 강남대로106길 29, 유니켐 지하1층 (역삼동)",202390.733703688    ,444589.321963869    
이니셜포커스존 대치점,커피숍,"서울특별시 강남구 도곡로 450, 덕산빌딩 지하1층 (대치동)",205214.685          ,443990.99           
이앤아이ENI(cafe),커피숍,"서울특별시 강남구 강남대로94길 9, 지상3층 (역삼동)",202414.971933049    ,444142.025609299    
스트릿 팬케이크 카페 STREET PANCAKE CAFE,커피숍,"서울특별시 강남구 일원로 28, 기호빌딩 지상1층 (일원동)",206943.899783065    ,443232.721306979    
밀크힐 역삼점,커피숍,"서울특별시 강남구 논현로67길 64, 지상1층 101호 (역삼동)",202999.241605086    ,443408.42326624     
미드나잇 에이치,커피숍,"서울특별시 강남구 학동로20길 66, 지상1층 (논현동)",202276.635801283    ,445294.944082411    
칸틴 대치점,커피숍,"서울특별시 강남구 테헤란로114길 38, 동일타워 지상1층 (대치동)",205849.511047456    ,444984.323902761    
카페 더 단골,커피숍,"서울특별시 강남구 밤고개로1길 10 (수서동,현대벤쳐빌 B228)",208937.760652081    ,442873.588039887    
라미스콘,커피숍,"서울특별시 강남구 도산대로53길 32, 지상1층 (신사동)",203374.561693127    ,447005.383353799    
텐퍼센트커피 신논현역점,커피숍,"서울특별시 강남구 강남대로110길 15, 1층 101호 (역삼동)",202243.345977722    ,444644.102194004    
커피트리,커피숍,"서울특별시 강남구 압구정로29길 67, 지상1층 4호 (압구정동)",202311.353781926    ,447749.656306461    
메종 드 그릭(Maison De Greek),커피숍,"서울특별시 강남구 삼성로71길 32, 지하1층 02호 (대치동)",204907.836800428    ,444390.935102535    
크로스커피 CROSSCOFFEE,커피숍,"서울특별시 강남구 봉은사로54길 8, 지하층 (역삼동)",203771.666064079    ,445256.026924251    
"카페, 바이이브릭",커피숍,"서울특별시 강남구 역삼로 122, 하나빌딩 지상1층 101호 (역삼동)",202852.576871536    ,443503.831144816    
라연 커피,커피숍,"서울특별시 강남구 도산대로17길 37-1, 지하1층 (신사동)",202020.736411138    ,446524.687345946    
스타벅스 강남자곡점,커피숍,"서울특별시 강남구 자곡로 172, 지상1층 107호,108호,109호 (자곡동)",208992.499929602    ,441214.041021633    
탐앤탐스 일원점,커피숍,"서울특별시 강남구 개포로140길 30, 지상1층 (일원동)",207584.775824565    ,443507.753099318    
